NEWID	SPECIMEN_ID	COLLECTOR	NUMBER	ADDCOLL_LABEL	HERBARIOS	COLLDD	COLLMM	COLLYY	LABEL_NAME	NOME	GENUS	SP1	ESPECIE_ARTIGO	DETBY	DETMONTH	DETYEAR	OLDDETS	TAXON_NOTES	VERNACULAR	CLADO	ITS_TIP	CPDNA_TIP	NOTA_DE_HABITAT	NOTA_DE_SOLO	HABITOSTD	PLANT_DAP_CM	PLANT_HEIGHT_M	FERT	LABEL_NOTES	ALTITUDE_EST	ALTI_RANGE	LATITUDE	LONGITUDE	COORD_REF	COUNTRY	PROVINCE	MUNICIPIO	MINORAREA	NOTAS_LOCALIDADE	END
AMA04	Amara_04	Amaral, I.L. do	4		INPA	 	 	 		Pagamea guianensis Aubl.	Pagamea	guianensis	guianensis	Vicentini, A.	10	2006				Puberula	AMA04	AMA04								59.75		-0.3663888889	-64.9966666667	OTHER LABEL FROM SAME SITE	Brasil	Amazonas	Santa Isabel do Rio Negro			endofline
AMA938	Amara_938	Amaral, I.L. do	938	Silva, M.N.;Diobben, M.; Monteiro, O.P.; Lima, J.; Brako, L.; Reese, W.D.	INPA; MO; NY; UNB; US	25	4	1983	Pagamea  capitata Benth.    	Pagamea capitata Benth.	Pagamea	capitata	capitata	Vicentini, A.	 	2001	Det: Pagamea cf. caudata Huber (L.Coelho 1983; !B.Boom 1985);			Capitata	AMA938	AMA938	campina	arenoso	Shrub		2	Fruit	frutos imaturos verde-avermelhados e maturos vermelhos	379		-9.3666666667	-54.9	LABEL	Brasil	Pará	Novo Progresso	Serra do Cachimbo	Serra do Cachimbo, estrada Santarém-Cuiabá, BR 163, km 794, Base aérea	endofline
AYM11497	Aymar_11497	Aymard, G.	11497		INPA	 	 	 		Pagamea plicata Spruce ex Benth.	Pagamea	plicata	plicata	Vicentini, A.	10	2006				Plicata	AYM11497	AYM11497								100		1.9166666667	-67.0666666667	OTHER LABEL FROM SAME SITE	Venezuela	Amazonas	D. Rio Negro	San Carlos de Rio Negro		endofline
AYM12190	Aymar_12190	Aymard, G.	12190	Schargel, R.; Marvez, P.; Stergios, B.; Molina, F.; Vicentini, A.	MO; PORT	13	3	2002	Pagamea  anisophylla    	Pagamea anisophylla Standl. & Steyerm.	Pagamea	anisophylla	anisophylla	Vicentini, A.	10	2006				Macrophylla	AYM12190	AYM12190	Mosaico de bana, sabana y bosque bajo, en el borde del bosque	arena-blanca	Small tree	2	3	Estéril	Estéril   	129		4.1227777778	-66.6802777778	GPS	Venezuela	Amazonas	D. Atabapo	Isla Caymán	Rio Ventuari, ca. 2 km al Sur de comunidad abandonada Las Carmelitas, márgen derecha del rio 	endofline
AYM12191	Aymar_12191	Aymard, G.	12191	Schargel, R.; Marvez, P.; Stergios, B.; Molina, F.; Vicentini, A.	MO; PORT	13	3	2002	guianensis	Pagamea guianensis Aubl.	Pagamea	sp. nov. occulta	guianensis	Vicentini, A.	10	2006				Guianensis	AYM12191	AYM12191	Mosaico de bana, sabana y bosque bajo, en bana (arbustal denso y bosque bajo)	arena-blanca	Small tree	2	2	Estéril	Estéril. Individuo al lado de P,  anisophylla. En  general esas dos especies tienen distinta preferencia de habitat: P  guianensis es mas frecuente en la transición entre el bosque inundáble (dominado por Leopoldinia en el sotobosque) y la sabana mas abierta donde P. anisophylla es mas común	126		4.1280555556	-66.6772222222	GPS	Venezuela	Amazonas	D. Atabapo	Isla Caymán	Rio Ventuari, ca. 2 km al Sur de comunidad abandonada Las Carmelitas, márgen derecha del rio 	endofline
AYM12209	Aymar_12209	Aymard, G.	12209	Schargel, R.; Marvez, P.; Stergios, B.; Molina, F.; Vicentini, A.	INPA	14	3	2002	guianensis	Pagamea guianensis Aubl.	Pagamea	sp. nov. occulta	guianensis	Vicentini, A.	10	2006				Guianensis	AYM12209	AYM12209	Mosaico de bana, sabana y bosque bajo, sotobosque de bana alta	arena-blanca	Small tree		4	Estéril	Estéril   	126		4.1280555556	-66.6772222222	GPS	Venezuela	Amazonas	D. Atabapo	Isla Caymán	Rio Ventuari, ca. 2 km al Sur de comunidad abandonada Las Carmelitas, márgen derecha del rio 	endofline
BER7280	Berry_7280	Berry, P.E.	7280	Aymard, G.	MO	26	3	2000		Pagamea sessiliflora Spruce	Pagamea	sessiliflora	sessiliflora	Aymard, G.	 	2000				Sessiliflora	BER7280	BER7280	Caatinga alta y luego bosque inundable		Shrub		2	Fruit		120	115-125	1.9269444444	-67.0602777778	LABEL	Venezuela	Amazonas	D. Rio Negro	San Carlos de Rio Negro	A lo largo del caminito de pie de San Carlos a Caño Marimajari	endofline
CAR2729	Cardo_2729	Cardona, F.	2729		NY; VEN	31	12	1948	Pagamea  standleyana Steyerm.    	Pagamea standleyana Steyerm.	Pagamea	standleyana	standleyana	Steyermark, A.	 	1963				Thyrsiflora	CAR2729	CAR2729			Shrub		3	Flower		2200		4.1856	-62.5666666667	MAP	Venezuela	Bolívar	Raúl Leoni	Cerro Auyan	Cerro Auyan. Alto Rio Caroni.	endofline
CID11648	Cid  _11648	Cid  Ferreira, C.A.	11648	Gribel, R.	INPA	 	 	 		Pagamea guianensis Aubl.	Pagamea	guianensis	guianensis	Vicentini, A.	10	2006				Guianensis	CID11648	CID11648								44.33333333		0.7291666667	-51.3875	gndb porto grande	Brasil	Amapá	Porto Grande			endofline
CID12026	Cid  _12026	Cid  Ferreira, C.A.	12026		INPA	 	 	 		Pagamea guianensis Aubl.	Pagamea	guianensis	guianensis	Vicentini, A.	10	2006				Guianensis	CID12026	CID12026								1		-2.1322222222	-49.9658333333		Brasil	Pará	Oeiras do Pará			endofline
