NUMBER	GENUS	ESPECIE	DETBY	DETDD	DETMM	DETYY	INFRAESPECIE	LONGITUDE_DG	LATITUDE_DG	COLDD	COLMM	COLYY	ALTITUDEmax	ALTITUDEmin	ALTITUDE_ALL	CF	DUPLICATE_old	FAMILY	FONTE_INFO	HABITAT_NOVO	HABITATNOTES	HABITO	DAP_NOVO	ALTURA_NOVO	SOLOTEXTURA	SOLOINUNDACAO	HERBARIUM_NOVO	INPA.TOMBAMENTO	NOTAS_ORIGINAL	ORIGINALESPECIMEN	Fertilidade	REPOSITORIO	ROWHERBARIUM	SOBRENOME	Type	VERNACULARNOME	COLLECTOR	COUNTRY_NOVO	MAJORAREA_NOVO	MINORAREA	GAZETTEER
51	Ocotea	glomerata	Santos, S.O.	14	9	2014		-37.726944	-12.048056	31	5	1995	15	15	15		urn:catalog:JBRJ:RB:133143|urn:catalog:JBRJ:RB:133333	Lauraceae				árvore		5			HST;HUEFS;JPB;MBM;RB		Arvore ca 5m de alt, botoes florais ferruginosos, arvore ca 5m de alt, botões florais ferruginosos, árvore ca. 5 m alt.; botoes florais ferruginosos. margem da floresta, árvores de grande porte e emaranhado de arbustos. árvore de aproximadamente 5,00m de altura; botoes florais ferruginosos. margem da floresta, árvores de grande porte e emaranhado de arbustos.&nf;floresta ombrófila aberta. 15m de altitude.; desc: árvore de aproximadamente 5,00m de altura; botoes florais fe árvore de aproximadamente 5m de altura. botoes florais ferruginosos. árvore de aproximadamente 5m de altura. botões florais ferruginosos. floresta ombrófita aberta		botões;flor	gbif;sl	133143|133333	Silva			Silva, L.N.	Brasil	BAHIA	Conde	Fazenda Do Bu
2316	Ocotea	aurantiodora	van der Werff			1984		-81.6938889	7.5044444	28	7	1962	60	20	60;20			Lauraceae									MO					mo		Dwyer			Dwyer, John	Panamá	Veraguas - Montijo	Gobernadora	Parque Nacional Coiba
2317	Ocotea	aurantiodora	van der Werff			1984		-81.6938889	7.5044444	28	7	1962	60	20	60;20			Lauraceae						20			MO		1st specimen: Tree, flowers cream. 2nd specimen: Shrub 20 ft. tall; flowers cream-colored.		flor	mo		Dwyer			Dwyer, John	Panamá	Veraguas - Montijo	Gobernadora	Parque Nacional Coiba
316	Ocotea	glomerata	Moraes, P.L.R. de	3	9	2010		-34.9775	-7.721389	3	9	2007	115	20	115;20			Lauraceae				árvore		4			HUEFS;JPB;UPCB		Árvore 4m, flores amarelas pálidas (cor de creme). Mata Atlântica. árvore, 4 m de altitude, flores amarelas pálidas (cor de creme); desc: árvore, 4 m de altitude, flores amarelas pálidas (cor de creme) mata atlântica.		flor	sl		Lins-e-Silva			Lins-e-Silva, A.C.B	Brasil	PERNAMBUCO	Itaquitinga	Usina São José
3432	Ocotea	longifolia	Moraes, P.L.R. de	7	12	2011		-39.959139	-19.187278	7	12	2011	33	20	33;20			Lauraceae									CVRD;HRCB					sl		Moraes			Moraes, P.L.R.	Brasil	ESPÍRITO SANTO	Linhares	Reserva Florestal Da Cvrd
30071	Ocotea	longifolia						-59.918418	-3.003764	13	10	1929	25	25	25			Lauraceae	Googleearth-maps								NY					sl		Killip			Killip, E.P.	Brasil	AMAZONAS	Manaus	Reserva Florestal Adolpho Ducke
8	Ocotea	glomerata	van der Werff					-35.0027778	-7.8388889	2	5	2001	25	25	25			Lauraceae									MO					mo;sl		Silva			Silva, H.C.H.	Brasil	PERNAMBUCO	Igarassu	Usina São José
MO3128649	Ocotea	glomerata	van der Werff	2				-35	-7.84	2	5	2001		25	25			Lauraceae									MO					gbif	MO3128649	Silva			Silva, H.C.H.	Brasil	PERNAMBUCO	Igarassu	Usina São José
27	Ocotea	glomerata	van der Werff	12				-35	-7.84	12	7	2001		25	25			Lauraceae									MO					mo;sl	3128648	Silva			Silva, H.C.H.	Brasil	PERNAMBUCO	Igarassu	Arredores Da Cidade
70	Ocotea	glomerata	van der Werff					-35	-7.84	24	10	2001		25	25			Lauraceae									MO					mo;sl		Silva			Silva, H.C.H.	Brasil	PERNAMBUCO	Igarassu	Usina São José
